address	glyph	name	name
8	ι	0142	1
9	υ	0142	1
11	χ	0142	1
12	υ	0142	1
48	θ	0142	1
49	ω	0142	1
51	π	0142	1
52	ρ	0142	1
71	ι	0142	1
72	υ	0142	1
74	χ	0142	1
75	ω	0142	1
8	χ	049	1
9	υ	049	1
11	ι	049	1
12	υ	049	1
48	θ	049	1
49	ω	049	1
51	π	049	1
52	ρ	049	1
71	ι	049	1
72	υ	049	1
74	χ	049	1
75	ω	049	1
8	ι	056	1
9	υ	056	1
11	χ	056	1
12	υ	056	1
48	θ	056	1
49	ω	056	1
51	π	056	1
52	ρ	056	1
71	ι	056	1
72	υ	056	1
74	χ	056	1
75	ω	056	1
8	ι	A 02	1
9	υ	A 02	1
11	χ	A 02	1
12	υ	A 02	1
48	θ	A 02	1
49	ω	A 02	1
51	π	A 02	1
52	ρ	A 02	1
71	ι	A 02	1
72	υ	A 02	1
74	χ	A 02	1
75	ω	A 02	1
8	ι	ℵ 01	1
9	υ	ℵ 01	1
11	χ	ℵ 01	1
12	υ	ℵ 01	1
48	θ	ℵ 01	1
49	ω	ℵ 01	1
73	ι	ℵ 01	1
74	υ	ℵ 01	1
76	χ	ℵ 01	1
77	ω	ℵ 01	1
8	ι	B 03	1
9	υ	B 03	1
11	χ	B 03	1
12	υ	B 03	1
48	θ	B 03	1
49	ω	B 03	1
73	ι	B 03	1
74	υ	B 03	1
76	χ	B 03	1
77	ω	B 03	1
8	ι	Ψ 044	1
9	υ	Ψ 044	1
11	χ	Ψ 044	1
12	υ	Ψ 044	1
48	θ	Ψ 044	1
49	ω	Ψ 044	1
51	π	Ψ 044	1
52	ρ	Ψ 044	1
71	χ	Ψ 044	1
72	υ	Ψ 044	1
74	ι	Ψ 044	1
75	υ	Ψ 044	1
8	χ	K 018	1
9	υ	K 018	1
11	ι	K 018	1
12	υ	K 018	1
74	ι	K 018	1
75	υ	K 018	1
77	χ	K 018	1
78	υ	K 018	1
8	ι	L 020	1
9	υ	L 020	1
11	χ	L 020	1
12	υ	L 020	1
48	θ	L 020	1
49	ω	L 020	1
51	π	L 020	1
52	ρ	L 020	1
71	ι	L 020	1
72	υ	L 020	1
74	χ	L 020	1
75	ω	L 020	1
16	ι	P 025	1
17	υ	P 025	1
53	θ	P 025	1
54	ω	P 025	1
56	π	P 025	1
57	ρ	P 025	1
76	ι	P 025	1
77	υ	P 025	1
79	χ	P 025	1
80	ω	P 025	1
8	ι	P72	1
9	η	P72	1
12	χ	P72	1
13	ρ	P72	1
50	θ	P72	1
51	ω	P72	1
53	π	P72	1
54	ρ	P72	1
73	ι	P72	1
74	η	P72	1
77	χ	P72	1
78	ρ	P72	1
64	σ	049	3
65	ρ	049	3
64	σ	056	3
65	ρ	056	3
64	ρ	2125	3
65	ι	2125	3
66	α	2125	3
67	ς	2125	3
73	σ	Ψ 044	3
74	ρ	Ψ 044	3
64	σ	K 018	3
65	ρ	K 018	3
64	σ	L 020	3
65	ρ	L 020	3
64	σ	P 025	3
65	ρ	P 025	3
92	θ	0142	4
93	υ	0142	4
156	θ	0142	4
157	ν	0142	4
163	κ	0142	4
164	ν	0142	4
171	ι	0142	4
172	ν	0142	4
174	χ	0142	4
175	ν	0142	4
24	α	0251	4
25	ν	0251	4
152	κ	0251	4
153	ν	0251	4
24	α	049	4
25	ν	049	4
155	θ	049	4
156	ν	049	4
162	κ	049	4
163	ν	049	4
170	ι	049	4
171	ν	049	4
173	χ	049	4
174	ν	049	4
24	α	056	4
25	ν	056	4
88	θ	056	4
89	υ	056	4
152	θ	056	4
153	ν	056	4
159	κ	056	4
160	ν	056	4
167	ι	056	4
168	ν	056	4
170	χ	056	4
171	ν	056	4
24	α	A 02	4
25	ν	A 02	4
88	θ	A 02	4
89	υ	A 02	4
157	κ	A 02	4
158	ν	A 02	4
165	ι	A 02	4
166	ν	A 02	4
168	χ	A 02	4
169	ν	A 02	4
96	θ	ℵ 01	4
97	υ	ℵ 01	4
163	κ	ℵ 01	4
164	ν	ℵ 01	4
171	ι	ℵ 01	4
172	ν	ℵ 01	4
174	χ	ℵ 01	4
175	ν	ℵ 01	4
93	θ	B 03	4
94	υ	B 03	4
162	κ	B 03	4
163	ν	B 03	4
170	ι	B 03	4
171	ν	B 03	4
173	χ	B 03	4
174	ν	B 03	4
93	θ	C 04	4
94	υ	C 04	4
161	κ	C 04	4
162	ν	C 04	4
169	ι	C 04	4
170	ν	C 04	4
172	χ	C 04	4
173	ν	C 04	4
24	α	Ψ 044	4
25	ν	Ψ 044	4
90	θ	Ψ 044	4
91	υ	Ψ 044	4
154	θ	Ψ 044	4
155	ν	Ψ 044	4
161	κ	Ψ 044	4
162	ν	Ψ 044	4
169	ι	Ψ 044	4
170	ν	Ψ 044	4
172	χ	Ψ 044	4
173	ν	Ψ 044	4
92	θ	K 018	4
93	υ	K 018	4
156	θ	K 018	4
157	ν	K 018	4
163	κ	K 018	4
164	ν	K 018	4
171	ι	K 018	4
172	ν	K 018	4
174	χ	K 018	4
175	ν	K 018	4
24	α	L 020	4
25	ν	L 020	4
88	θ	L 020	4
89	υ	L 020	4
152	θ	L 020	4
153	ν	L 020	4
159	κ	L 020	4
160	ν	L 020	4
167	ι	L 020	4
168	ν	L 020	4
170	χ	L 020	4
171	ν	L 020	4
24	α	P 025	4
25	ν	P 025	4
88	θ	P 025	4
89	υ	P 025	4
