mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
+--------+------+
|   2535 |    1 |
|   2536 |    1 |
|   2948 |    1 |
|   2952 |    1 |
|   2953 |    1 |
|   2955 |    1 |
|   2957 |    1 |
|   3043 |    1 |
|   3044 |    1 |
|   3045 |    1 |
|   3156 |    1 |
|   3157 |    1 |
|   3158 |    1 |
|   3160 |    1 |
|   3162 |    1 |
|   3281 |    1 |
|   3282 |    1 |
|   3283 |    1 |
|   3284 |    1 |
|   3285 |    1 |
|   3287 |    1 |
|   3288 |    1 |
|   3290 |    1 |
|   3291 |    1 |
|   3293 |    1 |
|   3294 |    1 |
|   3859 |    1 |
|   3863 |    1 |
|   3864 |    1 |
|   3866 |    1 |
|   3868 |    1 |
|   3912 |    1 |
|   3913 |    1 |
|   3914 |    1 |
|   3916 |    1 |
|   3918 |    1 |
|   3984 |    1 |
|   3985 |    1 |
|   3987 |    1 |
|   4098 |    1 |
|   4108 |    1 |
|   4173 |    1 |
|   4174 |    1 |
|   4175 |    1 |
|   4176 |    1 |
|   4438 |    1 |
|   4439 |    1 |
|   4440 |    1 |
|   5404 |    1 |
|   5405 |    1 |
|   5406 |    1 |
|   5506 |    1 |
|   5507 |    1 |
|   5867 |    1 |
|   5868 |    1 |
|   5871 |    1 |
|   5872 |    1 |
|   5874 |    1 |
|   6279 |    1 |
|   6280 |    1 |
|   6281 |    1 |
|   6491 |    1 |
|   6494 |    1 |
|   6495 |    1 |
|   6789 |    1 |
|   6790 |    1 |
|   6792 |    1 |
|   7317 |    1 |
|   7318 |    1 |
|   7320 |    1 |
|   7460 |    1 |
|   7461 |    1 |
|   7462 |    1 |
|   7463 |    1 |
|   7464 |    1 |
|   7465 |    1 |
|   7466 |    1 |
|   7469 |    1 |
|   7470 |    1 |
|   7471 |    1 |
|   7781 |    1 |
|   7782 |    1 |
|   7783 |    1 |
|   8169 |    1 |
|   8170 |    1 |
|   8338 |    1 |
|   8339 |    1 |
|   9031 |    1 |
|   9032 |    1 |
|   9034 |    1 |
|   9081 |    1 |
|   9085 |    1 |
|   9086 |    1 |
|   9393 |    1 |
|   9394 |    1 |
|   9395 |    1 |
|   9661 |    1 |
|   9662 |    1 |
|   9688 |    1 |
